player,pos,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Precious Achiuwa,PF-C,24,67,18,1522,229,449,0.51,25,93,0.269,204,356,0.573,0.538,69,112,0.616,184,277,461,94,44,66,78,130,552
Precious Achiuwa,C,24,25,0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193
Precious Achiuwa,PF,24,42,18,1085,151,279,0.541,12,46,0.261,139,233,0.597,0.563,45,70,0.643,134,191,325,50,28,54,49,90,359
Bam Adebayo,C,26,63,63,2162,480,922,0.521,10,30,0.333,470,892,0.527,0.526,276,367,0.752,142,529,671,253,73,61,148,144,1246
Ochai Agbaji,SG,23,72,23,1457,164,396,0.414,61,200,0.305,103,196,0.526,0.491,28,42,0.667,66,128,194,73,42,38,55,102,417
Ochai Agbaji,SG,23,51,10,1003,106,249,0.426,47,142,0.331,59,107,0.551,0.52,15,20,0.75,35,91,126,47,27,29,34,66,274
Ochai Agbaji,SG,23,21,13,454,58,147,0.395,14,58,0.241,44,89,0.494,0.442,13,22,0.591,31,37,68,26,15,9,21,36,143
Santi Aldama,PF,23,60,34,1595,246,565,0.435,106,302,0.351,140,263,0.532,0.529,54,87,0.621,72,277,349,136,43,51,69,87,652
Nickeil Alexander-Walker,SG,25,74,19,1742,203,472,0.43,113,296,0.382,90,176,0.511,0.55,44,56,0.786,33,118,151,185,57,39,69,130,563
Grayson Allen,SG,28,68,68,2284,307,608,0.505,187,398,0.47,120,210,0.571,0.659,114,129,0.884,43,218,261,213,60,42,87,144,915
Jarrett Allen,C,25,70,70,2209,463,735,0.63,0,5,0,463,730,0.634,0.63,216,291,0.742,219,523,742,187,48,77,113,138,1142
Jose Alvarado,PG,25,51,0,908,126,309,0.408,66,178,0.371,60,131,0.458,0.515,34,50,0.68,22,93,115,107,55,15,38,79,352
Kyle Anderson,PF,30,71,10,1624,182,388,0.469,9,40,0.225,173,348,0.497,0.481,94,131,0.718,58,198,256,302,62,40,83,110,467
Giannis Antetokounmpo,PF,29,69,69,2432,795,1294,0.614,34,119,0.286,761,1175,0.648,0.628,499,757,0.659,186,610,796,443,84,70,237,201,2123
Thanasis Antetokounmpo,PF,31,29,0,136,13,26,0.5,0,1,0,13,25,0.52,0.5,0,2,0,6,6,12,14,5,4,12,23,26
Cole Anthony,PG,23,73,0,1675,306,701,0.437,87,255,0.341,219,446,0.491,0.499,171,209,0.818,62,232,294,218,58,35,114,167,870
OG Anunoby,SF,26,44,44,1498,250,508,0.492,89,240,0.371,161,268,0.601,0.58,66,86,0.767,42,148,190,99,57,31,70,102,655
OG Anunoby,SF,26,27,27,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408
OG Anunoby,SF,26,17,17,598,93,187,0.497,28,77,0.364,65,110,0.591,0.572,33,40,0.825,18,66,84,27,29,18,27,40,247
Deni Avdija,SF,23,68,68,2013,360,712,0.506,80,206,0.388,280,506,0.553,0.562,170,231,0.736,80,407,487,259,55,28,142,168,970
Deandre Ayton,C,25,48,48,1543,351,605,0.58,1,4,0.25,350,601,0.582,0.581,56,69,0.812,152,376,528,77,47,38,87,100,759
Marvin Bagley III,C,24,49,24,1044,237,403,0.588,9,22,0.409,228,381,0.598,0.599,96,126,0.762,130,179,309,55,19,33,58,81,579
Marvin Bagley III,C,24,26,10,478,107,181,0.591,1,6,0.167,106,175,0.606,0.594,50,61,0.82,46,72,118,27,5,14,29,40,265
Marvin Bagley III,C,24,23,14,566,130,222,0.586,8,16,0.5,122,206,0.592,0.604,46,65,0.708,84,107,191,28,14,19,29,41,314
Amari Bailey,PG,19,8,0,31,3,12,0.25,0,5,0,3,7,0.429,0.25,1,2,0.5,2,0,2,2,1,0,1,0,7
Patrick Baldwin Jr.,SF,21,32,4,331,33,105,0.314,18,65,0.277,15,40,0.375,0.4,13,19,0.684,13,70,83,20,10,11,14,37,97
