Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF-C,24,TOT,67,18,1522,229,449,0.51,25,93,0.269,204,356,0.573,0.538,69,112,0.616,184,277,461,94,44,66,78,130,552
1,Precious Achiuwa,C,24,TOR,25,0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193
1,Precious Achiuwa,PF,24,NYK,42,18,1085,151,279,0.541,12,46,0.261,139,233,0.597,0.563,45,70,0.643,134,191,325,50,28,54,49,90,359
2,Bam Adebayo,C,26,MIA,63,63,2162,480,922,0.521,10,30,0.333,470,892,0.527,0.526,276,367,0.752,142,529,671,253,73,61,148,144,1246
3,Ochai Agbaji,SG,23,TOT,72,23,1457,164,396,0.414,61,200,0.305,103,196,0.526,0.491,28,42,0.667,66,128,194,73,42,38,55,102,417
3,Ochai Agbaji,SG,23,UTA,51,10,1003,106,249,0.426,47,142,0.331,59,107,0.551,0.52,15,20,0.75,35,91,126,47,27,29,34,66,274
3,Ochai Agbaji,SG,23,TOR,21,13,454,58,147,0.395,14,58,0.241,44,89,0.494,0.442,13,22,0.591,31,37,68,26,15,9,21,36,143
4,Santi Aldama,PF,23,MEM,60,34,1595,246,565,0.435,106,302,0.351,140,263,0.532,0.529,54,87,0.621,72,277,349,136,43,51,69,87,652
5,Nickeil Alexander-Walker,SG,25,MIN,74,19,1742,203,472,0.43,113,296,0.382,90,176,0.511,0.55,44,56,0.786,33,118,151,185,57,39,69,130,563
6,Grayson Allen,SG,28,PHO,68,68,2284,307,608,0.505,187,398,0.47,120,210,0.571,0.659,114,129,0.884,43,218,261,213,60,42,87,144,915
7,Jarrett Allen,C,25,CLE,70,70,2209,463,735,0.63,0,5,0,463,730,0.634,0.63,216,291,0.742,219,523,742,187,48,77,113,138,1142
8,Jose Alvarado,PG,25,NOP,51,0,908,126,309,0.408,66,178,0.371,60,131,0.458,0.515,34,50,0.68,22,93,115,107,55,15,38,79,352
9,Kyle Anderson,PF,30,MIN,71,10,1624,182,388,0.469,9,40,0.225,173,348,0.497,0.481,94,131,0.718,58,198,256,302,62,40,83,110,467
10,Giannis Antetokounmpo,PF,29,MIL,69,69,2432,795,1294,0.614,34,119,0.286,761,1175,0.648,0.628,499,757,0.659,186,610,796,443,84,70,237,201,2123
11,Thanasis Antetokounmpo,PF,31,MIL,29,0,136,13,26,0.5,0,1,0,13,25,0.52,0.5,0,2,0,6,6,12,14,5,4,12,23,26
12,Cole Anthony,PG,23,ORL,73,0,1675,306,701,0.437,87,255,0.341,219,446,0.491,0.499,171,209,0.818,62,232,294,218,58,35,114,167,870
13,OG Anunoby,SF,26,TOT,44,44,1498,250,508,0.492,89,240,0.371,161,268,0.601,0.58,66,86,0.767,42,148,190,99,57,31,70,102,655
13,OG Anunoby,SF,26,TOR,27,27,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408
13,OG Anunoby,SF,26,NYK,17,17,598,93,187,0.497,28,77,0.364,65,110,0.591,0.572,33,40,0.825,18,66,84,27,29,18,27,40,247
14,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6,0,0,6,0,0,0,,0,0,0,,0,8,8,4,2,0,2,5,0
15,Deni Avdija,SF,23,WAS,68,68,2013,360,712,0.506,80,206,0.388,280,506,0.553,0.562,170,231,0.736,80,407,487,259,55,28,142,168,970
16,Deandre Ayton,C,25,POR,48,48,1543,351,605,0.58,1,4,0.25,350,601,0.582,0.581,56,69,0.812,152,376,528,77,47,38,87,100,759
17,Udoka Azubuike,C,24,PHO,14,0,107,16,22,0.727,0,0,,16,22,0.727,0.727,3,11,0.273,11,21,32,3,1,6,4,17,35
18,Ibou Badji,C,21,POR,21,1,216,13,20,0.65,0,0,,13,20,0.65,0.65,6,12,0.5,20,31,51,13,2,20,14,44,32
19,Marvin Bagley III,C,24,TOT,49,24,1044,237,403,0.588,9,22,0.409,228,381,0.598,0.599,96,126,0.762,130,179,309,55,19,33,58,81,579
19,Marvin Bagley III,C,24,DET,26,10,478,107,181,0.591,1,6,0.167,106,175,0.606,0.594,50,61,0.82,46,72,118,27,5,14,29,40,265
19,Marvin Bagley III,C,24,WAS,23,14,566,130,222,0.586,8,16,0.5,122,206,0.592,0.604,46,65,0.708,84,107,191,28,14,19,29,41,314
20,Amari Bailey,PG,19,CHO,8,0,31,3,12,0.25,0,5,0,3,7,0.429,0.25,1,2,0.5,2,0,2,2,1,0,1,0,7
21,Patrick Baldwin Jr.,SF,21,WAS,32,4,331,33,105,0.314,18,65,0.277,15,40,0.375,0.4,13,19,0.684,13,70,83,20,10,11,14,37,97
